ID,Sales Person,Geo,Product,Date,Amount,Customers,Boxes
1,Barr Faughny,New Zealand,Raspberry Choco,1/1/2021,"$8,414 ",276,495
2,Dennison Crosswaite,Canada,White Choc,1/1/2021,$532 ,317,54
3,Karlen McCaffrey,USA,99% Dark & Pure,1/1/2021,"$5,376 ",178,269
4,Barr Faughny,New Zealand,Baker's Choco Chips,1/1/2021,$259 ,32,22
5,Beverie Moffet,USA,Manuka Honey Choco,1/1/2021,"$5,530 ",4,179
6,Rafaelita Blaksland,India,85% Dark Bars,1/1/2021,"$2,184 ",63,122
7,Oby Sorrel,UK,Raspberry Choco,1/1/2021,"$1,057 ",295,71
8,Dotty Strutley,Australia,Organic Choco Syrup,1/1/2021,"$1,036 ",370,37
9,Brien Boise,Australia,Caramel Stuffed Bars,1/1/2021,"$4,039 ",536,176
10,Curtice Advani,New Zealand,Milk Bars,1/1/2021,"$12,894 ",115,478
11,Madelene Upcott,USA,Milk Bars,1/1/2021,"$4,669 ",121,180
12,Wilone O'Kielt,New Zealand,Organic Choco Syrup,1/1/2021,"$6,377 ",184,246
13,Jehu Rudeforth,Canada,Mint Chip Choco,1/1/2021,"$4,599 ",106,256
14,Jehu Rudeforth,USA,Orange Choco,1/1/2021,"$2,751 ",228,251
15,Brien Boise,India,Eclairs,1/1/2021,"$15,596 ",32,975
16,Curtice Advani,India,After Nines,1/1/2021,"$8,561 ",111,330
17,Camilla Castle,UK,Mint Chip Choco,1/1/2021,"$14,273 ",335,752
18,Dennison Crosswaite,New Zealand,85% Dark Bars,1/1/2021,"$2,506 ",99,148
19,Beverie Moffet,Canada,Spicy Special Slims,1/1/2021,"$2,387 ",134,89
20,Andria Kimpton,USA,Drinking Coco,1/1/2021,"$7,553 ",67,280
21,Jehu Rudeforth,New Zealand,Peanut Butter Cubes,1/1/2021,"$3,409 ",93,171
22,Kelci Walkden,USA,Peanut Butter Cubes,1/1/2021,"$3,878 ",24,216
23,Karlen McCaffrey,USA,Raspberry Choco,1/1/2021,"$3,052 ",76,204
24,Madelene Upcott,USA,Choco Coated Almonds,1/4/2021,"$19,229 ",64,1013
25,Kelci Walkden,UK,Choco Coated Almonds,1/4/2021,"$1,988 ",179,95
26,Karlen McCaffrey,UK,Orange Choco,1/4/2021,$147 ,9,11
27,Oby Sorrel,UK,Fruit & Nut Bars,1/4/2021,"$2,401 ",407,134
28,Husein Augar,USA,Caramel Stuffed Bars,1/4/2021,"$2,814 ",296,94
29,Curtice Advani,UK,Caramel Stuffed Bars,1/4/2021,"$5,390 ",61,216
